community,% in Poverty,% in Extreme Poverty,Child Poverty Rate,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Aged 0-4,% Aged 5-17,% Aged 18-24,% Aged 25-64,% Aged 65+,Total Pop.,Change in Pop. (2018 to 2019),Overall Unemp.,Unemp. 16-19 yr. olds,Unemp. 20-24 yr. olds,% no HS Diploma,% HS or GED,Some College,% Associates Deg.,% Bachelors Deg.,Forclosure,Homeownership Rate,Rent Burden,SNAP Enrollment Rate,% Cash Assist.,Uninsured Rate,Avg. Med. Household Income (2020 Dollars)
HEGEWISCH,15.7,8.2,-0.2,50.7,49.3,0.0,6.8,56.2,36.8,4.2,16.9,11.3,50.6,17.0,9069.5,0.0,9.9,32.1,14.7,18.1,34.4,25.1,6.1,16.3,6.0,75.5,55.1,18.2,5.5,11.2,51424.7
HERMOSA,12.8,6.7,-1.3,49.0,51.0,2.3,4.5,82.5,9.9,5.8,16.5,11.5,54.3,11.9,23168.9,0.0,5.9,21.6,11.0,30.2,28.4,16.5,5.3,19.5,9.0,50.6,49.1,17.3,3.8,20.5,56295.7
HUMBOLDT PARK,27.3,9.8,-2.4,52.4,47.6,0.5,33.1,55.4,9.0,6.6,20.6,9.8,53.6,9.4,54017.3,0.0,10.9,20.4,19.7,24.9,29.2,20.7,6.8,18.4,33.0,37.6,57.6,31.8,5.6,16.4,52429.9
HYDE PARK,25.5,17.8,0.9,54.2,45.8,14.2,24.4,7.5,47.0,2.9,7.8,24.6,49.2,15.5,27722.0,0.0,6.4,29.4,6.2,3.9,4.6,11.3,2.8,77.3,9.0,34.8,58.8,6.8,1.3,5.5,46443.7
IRVING PARK,8.7,3.3,0.1,51.0,49.0,8.6,2.7,41.2,44.0,7.0,14.2,7.0,61.5,10.4,53604.0,0.0,5.9,38.1,14.9,13.6,20.3,16.7,5.9,43.6,11.0,50.9,38.2,8.7,2.7,12.0,77080.8
JEFFERSON PARK,8.1,4.0,-1.3,50.9,49.1,11.6,2.6,24.4,58.2,5.4,15.7,6.2,58.0,14.8,27137.1,0.0,4.4,35.0,6.8,7.4,24.6,20.2,7.4,40.5,18.0,65.7,43.6,8.5,3.2,9.7,84230.1
KENWOOD,23.4,13.7,0.1,54.4,45.6,6.0,66.0,2.2,20.9,7.3,11.6,6.8,55.5,18.7,17972.0,0.0,9.2,26.5,4.3,5.2,15.2,15.6,5.1,58.8,10.0,35.1,52.9,19.3,1.4,8.7,49367.4
LAKE VIEW,8.5,4.5,0.0,48.3,51.7,7.0,4.2,9.0,76.2,5.6,6.5,12.8,66.6,8.4,101392.0,0.0,3.5,7.6,3.7,1.8,4.2,8.5,2.8,82.6,20.0,37.4,36.3,3.5,1.0,4.1,110863.2
LINCOLN PARK,9.0,5.2,0.0,50.0,50.0,7.3,3.8,6.2,80.0,4.8,9.9,15.5,60.5,9.2,69457.1,0.0,3.1,18.5,3.8,2.0,4.2,6.8,1.8,85.3,18.0,45.3,34.2,2.8,1.3,3.0,128699.8
LINCOLN SQUARE,7.5,3.4,-2.0,52.3,47.7,9.1,3.0,17.8,64.3,7.6,9.8,6.3,67.4,8.9,41272.1,0.0,5.4,16.9,11.7,6.4,11.4,12.5,3.8,66.0,5.0,38.4,41.6,6.1,2.0,8.8,81024.8
LOGAN SQUARE,12.0,5.3,-1.1,50.3,49.7,4.2,4.5,36.4,51.6,6.5,10.5,7.9,67.7,7.3,71531.6,0.0,3.4,10.7,7.7,8.5,16.9,10.9,4.6,59.2,33.0,37.0,38.0,8.8,2.3,8.2,93714.5
