community,"% in poverty, 2020","% in extreme poverty, 2020","% Female, 2020","% Male, 2020","% Asian, 2020","% Black, 2020","% Latino, 2020","% White, 2020","% of 18 to 24 years old, 2020","% of 25 to 64 years old, 2020","% of 65 years old or more, 2020","Total population, 2020",Overall unemployment rate,Youth unemployment rate for 20-24 yr. olds,% with no high school diploma,% with high school diploma/GED,% with Bachelor's degree and higher,Uninsured rate,Average of median household income in 2020 dollars
MORGAN PARK,11.6,6.9,54.1,45.9,0.4,60.4,5.0,30.9,7.2,52.4,18.1,21131.7,10.7,30.0,6.4,22.6,38.8,7.6,67781.7
MOUNT GREENWOOD,4.6,3.4,52.0,48.0,1.6,3.2,10.5,81.1,9.2,52.5,13.6,18840.0,4.4,7.9,4.7,22.0,40.1,3.2,79915.6
NEAR NORTH SIDE,9.7,5.3,51.7,48.3,14.3,7.0,6.1,69.2,9.1,68.4,15.4,94416.0,2.5,3.9,1.9,5.0,83.2,2.6,118192.9
NEAR SOUTH SIDE,7.6,2.4,55.7,44.3,19.1,22.5,4.2,51.4,2.1,75.9,11.2,26243.0,0.7,0.0,4.8,5.1,77.5,3.3,82560.5
NEAR WEST SIDE,19.4,12.8,51.2,48.8,18.5,24.2,10.1,43.5,15.3,62.7,7.6,62716.2,6.2,11.9,6.2,9.9,69.5,4.7,76671.2
NEW CITY,29.1,13.4,48.8,51.2,1.9,23.1,61.8,12.4,10.0,49.9,12.3,38870.5,16.8,23.5,30.6,39.1,9.3,21.0,38587.1
NORTH CENTER,4.3,1.7,51.0,49.0,6.0,2.6,12.0,74.7,4.1,61.6,7.5,36142.6,3.2,5.1,3.4,5.6,77.7,2.4,118412.0
NORTH LAWNDALE,36.2,20.0,55.3,44.7,0.2,82.6,11.3,4.8,11.5,51.0,12.2,31304.1,17.2,27.8,20.4,32.1,13.8,11.1,36995.3
NORTH PARK,14.6,5.6,53.8,46.2,26.3,2.2,18.7,48.8,10.0,50.5,18.1,18727.0,5.1,18.2,13.0,18.8,46.5,11.9,80296.9
NORWOOD PARK,6.9,3.2,51.9,48.1,4.3,0.7,15.1,77.3,5.3,53.8,19.4,38876.3,4.2,12.2,7.2,26.4,42.2,4.7,85848.1
OAKLAND,28.6,10.6,56.5,43.5,1.6,86.7,5.8,4.4,7.3,51.0,10.6,6973.0,19.9,37.6,8.1,21.8,37.1,6.8,41528.1
OHARE,10.9,4.0,46.1,53.9,15.0,6.3,10.6,66.0,4.3,62.7,15.7,14445.6,3.9,15.3,9.1,20.7,41.1,18.3,72927.1
PORTAGE PARK,7.7,3.9,51.5,48.5,5.9,1.6,42.5,47.0,9.0,57.1,13.2,63919.0,5.5,9.6,12.9,26.6,34.6,13.9,73160.3
PULLMAN,18.0,12.1,59.9,40.1,0.1,80.5,4.3,11.9,7.9,58.5,16.2,7179.1,15.8,24.0,10.8,22.8,30.3,8.1,40250.7
RIVERDALE,47.6,34.8,61.3,38.7,0.0,95.1,3.8,1.1,12.6,46.0,5.9,7421.4,29.7,38.1,13.9,30.5,6.7,10.2,36507.3
ROGERS PARK,21.5,9.3,51.1,48.9,5.4,27.0,18.9,44.3,13.9,59.5,9.4,55491.5,4.6,5.9,11.7,18.0,47.2,13.3,50401.5
ROSELAND,23.2,10.7,52.4,47.6,0.3,95.3,1.3,1.5,8.8,51.4,17.3,39752.7,18.9,37.0,13.8,25.6,21.4,11.8,44594.8
SOUTH CHICAGO,29.3,17.4,54.6,45.4,0.4,75.3,20.6,2.9,11.1,48.6,13.1,29922.8,16.1,34.8,17.6,31.1,17.9,10.8,39472.4
SOUTH DEERING,32.9,13.3,56.5,43.5,0.0,63.5,31.1,5.1,9.8,47.0,17.8,15120.2,17.0,51.6,19.6,30.0,17.6,9.4,43636.3
